"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"stembrand",5,"med",4,1,0.8,9,4,0,1,0.8,"2009-11-06 22:28:03",1294,1,1,0,1,0
"vimota",29,"power",29,0,1,6,27,0,2,0.931034482758621,"2009-11-13 23:52:44",1287,1,2,0,1,0
"tornrny",30,"power",7,23,0.233333333333333,7,23,0,7,0.766666666666667,"2009-11-30 22:40:02",1270,1,7,0,1,0
"cleiidinha",35,"power",20,15,0.571428571428571,10,2,0,33,0.0571428571428571,"2009-10-31 23:24:15",1300,1,33,0,1,0
"kailualisa",21,"power",10,11,0.476190476190476,10,21,0,0,1,"2009-11-01 03:38:47",1299,1,0,0,0,0
"marquitathomas",10,"med",10,0,1,14,10,0,0,1,"2009-11-02 01:28:34",1298,1,0,0,0,0
"jkarp",10,"med",10,0,1,5,10,0,0,1,"2009-11-01 01:15:45",1299,1,0,0,0,0
"rjoanne1",4,"med",4,0,1,8,4,0,0,1,"2009-11-05 16:51:07",1295,1,0,0,0,0
"shamanpanda",17,"med",17,0,1,11,17,0,0,1,"2009-11-09 06:21:52",1291,1,0,0,0,0
"katelynnicolemostad",20,"med",20,0,1,19,20,0,0,1,"2009-11-01 17:10:13",1299,1,0,0,0,0
"italyproperty",1,"low",1,0,1,13,1,0,0,1,"2009-11-01 22:27:50",1299,1,0,0,0,0
"erwinprasmanta",1,"low",1,0,1,14,1,0,0,1,"2009-11-01 23:17:33",1299,1,0,0,0,0
"suyogmody",1,"low",1,0,1,9,0,1,0,0,"2009-11-02 00:04:31",1298,0,0,1,0,1
"oskaria",1,"low",0,1,0,7,1,0,0,1,"2009-11-02 01:03:26",1298,1,0,0,0,0
"Katey",34,"power",28,6,0.823529411764706,5,34,0,0,1,"2009-11-26 19:38:32",1274,1,0,0,0,0
"brendy",2,"med",2,0,1,6,2,0,0,1,"2009-11-06 06:34:25",1294,1,0,0,0,0
"amandapenny",10,"med",10,0,1,11,10,0,0,1,"2009-11-02 14:44:57",1298,1,0,0,0,0
"BriivsVaards",8,"med",7,1,0.875,12,8,0,0,1,"2009-11-02 15:28:27",1298,1,0,0,0,0
"laughcrazy",3,"med",3,0,1,10,3,0,0,1,"2009-11-02 16:23:19",1298,1,0,0,0,0
"nicks",1,"low",0,1,0,5,1,0,0,1,"2009-11-02 20:30:23",1298,1,0,0,0,0
"fedesoria",22,"power",22,0,1,9,21,0,1,0.954545454545455,"2009-11-02 20:47:44",1298,1,1,0,1,0
"emmanuelay",3,"med",3,0,1,10,3,0,0,1,"2009-11-02 21:11:09",1298,1,0,0,0,0
"lhcoyle4",34,"power",34,0,1,8,29,0,5,0.852941176470588,"2009-11-14 02:23:55",1286,1,5,0,1,0
"aylas",1,"low",1,0,1,5,1,0,0,1,"2009-11-03 10:57:24",1297,1,0,0,0,0
"sergioa",11,"med",11,0,1,7,11,0,0,1,"2009-11-03 17:02:03",1297,1,0,0,0,0
"allegra",35,"power",35,0,1,7,24,0,11,0.685714285714286,"2009-11-03 23:59:06",1297,1,11,0,1,0
"veromayorga",8,"med",8,0,1,11,8,0,0,1,"2009-11-04 16:47:53",1296,1,0,0,0,0
"Damita37",3,"med",3,0,1,8,3,0,0,1,"2009-11-04 17:36:33",1296,1,0,0,0,0
"mbarria",8,"med",7,1,0.875,7,8,0,0,1,"2009-11-05 00:08:27",1295,1,0,0,0,0
"along01",29,"power",17,12,0.586206896551724,7,29,0,0,1,"2009-11-05 02:29:28",1295,1,0,0,0,0
"loriwrites",37,"power",37,0,1,10,29,0,8,0.783783783783784,"2009-11-05 02:10:43",1295,1,8,0,1,0
"himleng",1,"low",1,0,1,7,0,1,0,0,"2009-11-05 03:50:17",1295,0,0,1,0,1
"angellius",11,"med",10,1,0.909090909090909,9,11,0,0,1,"2009-11-15 07:12:44",1285,1,0,0,0,0
"ramiredram",46,"power",46,0,1,10,29,0,17,0.630434782608696,"2009-11-05 23:33:44",1295,1,17,0,1,0
"hiennga",8,"med",8,0,1,7,8,0,0,1,"2009-11-24 04:45:21",1276,1,0,0,0,0
"mukubes",2,"med",1,1,0.5,7,2,0,0,1,"2009-11-06 08:31:59",1294,1,0,0,0,0
"marsbard",11,"med",9,2,0.818181818181818,8,9,0,2,0.818181818181818,"2009-11-20 14:28:20",1280,1,2,0,1,0
"welma",11,"med",11,0,1,5,11,0,0,1,"2009-11-06 16:30:15",1294,1,0,0,0,0
"cjcheapjoke87",5,"med",4,1,0.8,13,5,0,0,1,"2009-11-07 20:25:35",1293,1,0,0,0,0
"ismamulya",1,"low",1,0,1,9,1,0,0,1,"2009-11-07 06:40:49",1293,1,0,0,0,0
"serkan_odabas07",1,"low",1,0,1,15,1,0,0,1,"2009-11-07 09:05:07",1293,1,0,0,0,0
"lt311hockey91",1,"low",1,0,1,13,1,0,0,1,"2009-11-07 16:50:47",1293,1,0,0,0,0
"holliday_golightly",6,"med",6,0,1,18,6,0,0,1,"2009-11-12 17:28:38",1288,1,0,0,0,0
"caj77",75,"power",73,2,0.973333333333333,5,56,0,19,0.746666666666667,"2009-11-08 05:59:52",1292,1,19,0,1,0
"nikolidakis",1,"low",1,0,1,11,1,0,0,1,"2009-11-08 15:21:38",1292,1,0,0,0,0
"micokonsep",1,"low",1,0,1,10,0,1,0,0,"2009-11-08 18:35:32",1292,0,0,1,0,1
"TomF",11,"med",10,1,0.909090909090909,4,11,0,0,1,"2009-11-13 18:36:04",1287,1,0,0,0,0
"jepa",1,"low",1,0,1,4,1,0,0,1,"2009-11-08 21:46:11",1292,1,0,0,0,0
